y,x,osmid,highway,geometry
34.1361823,-118.3420145,18205540,traffic_signals,POINT (-118.3420145 34.1361823)
34.12609,-118.2141939,18410617,,POINT (-118.2141939 34.12609)
34.1811708,-118.6014957,19344411,traffic_signals,POINT (-118.6014957 34.1811708)
34.1251042,-118.2114934,21651002,,POINT (-118.2114934 34.1251042)
34.0922875,-118.2568728,26187155,stop,POINT (-118.2568728 34.0922875)
33.9809756,-118.4149504,26427498,stop,POINT (-118.4149504 33.9809756)
33.9798299,-118.4175732,26427503,turning_circle,POINT (-118.4175732 33.9798299)
34.0370709,-118.538757,26427870,,POINT (-118.538757 34.0370709)
34.0365221,-118.5376743,26427871,,POINT (-118.5376743 34.0365221)
34.0354321,-118.5358411,26427873,,POINT (-118.5358411 34.0354321)
34.031203,-118.5255563,26427878,,POINT (-118.5255563 34.031203)
34.0948476,-118.2504247,26468535,,POINT (-118.2504247 34.0948476)
34.1719767,-118.542503,27440390,,POINT (-118.542503 34.1719767)
34.1792883,-118.6032018,35361182,traffic_signals,POINT (-118.6032018 34.1792883)
34.1837254,-118.6058809,35498822,,POINT (-118.6058809 34.1837254)
34.2140272,-118.4606344,36395857,,POINT (-118.4606344 34.2140272)
34.0498005,-118.447676,122394372,,POINT (-118.447676 34.0498005)
34.048545,-118.4465975,122394375,,POINT (-118.4465975 34.048545)
34.0475753,-118.4457826,122394378,,POINT (-118.4457826 34.0475753)
34.0473576,-118.4455982,122394380,,POINT (-118.4455982 34.0473576)
34.1190909,-118.4106895,122416650,,POINT (-118.4106895 34.1190909)
34.1195803,-118.4111744,122416653,,POINT (-118.4111744 34.1195803)
34.1200293,-118.4111766,122416656,,POINT (-118.4111766 34.1200293)
34.1204956,-118.4111255,122416659,,POINT (-118.4111255 34.1204956)
34.1205979,-118.4107885,122416662,,POINT (-118.4107885 34.1205979)
34.120939,-118.4105739,122416665,,POINT (-118.4105739 34.120939)
34.1215401,-118.4102776,122416667,,POINT (-118.4102776 34.1215401)
34.1220275,-118.410026,122416669,,POINT (-118.410026 34.1220275)
34.1222534,-118.4097272,122416671,,POINT (-118.4097272 34.1222534)
34.122733,-118.4096123,122416673,,POINT (-118.4096123 34.122733)
34.1221824,-118.4091234,122416675,,POINT (-118.4091234 34.1221824)
34.1217065,-118.4091404,122416679,,POINT (-118.4091404 34.1217065)
34.1212635,-118.4092322,122416683,,POINT (-118.4092322 34.1212635)
34.1209591,-118.4092688,122416690,,POINT (-118.4092688 34.1209591)
34.1207262,-118.4093555,122416692,,POINT (-118.4093555 34.1207262)
34.1205781,-118.4093236,122416694,,POINT (-118.4093236 34.1205781)
34.1205145,-118.4092619,122416699,,POINT (-118.4092619 34.1205145)
34.1204171,-118.4090221,122416701,,POINT (-118.4090221 34.1204171)
34.119848,-118.4089918,122416705,,POINT (-118.4089918 34.119848)
34.1194677,-118.4099636,122416706,,POINT (-118.4099636 34.1194677)
34.119362,-118.4102306,122416708,,POINT (-118.4102306 34.119362)
34.1188925,-118.4113836,122416710,,POINT (-118.4113836 34.1188925)
34.1187757,-118.4117603,122416713,,POINT (-118.4117603 34.1187757)
34.1182305,-118.4122141,122416714,,POINT (-118.4122141 34.1182305)
34.11754,-118.4131409,122416715,,POINT (-118.4131409 34.11754)
34.0700536,-118.4397685,122425040,,POINT (-118.4397685 34.0700536)
34.0698173,-118.4394077,122425043,,POINT (-118.4394077 34.0698173)
34.0696599,-118.4394415,122425045,,POINT (-118.4394415 34.0696599)
33.9699722,-118.4178933,122460317,,POINT (-118.4178933 33.9699722)
33.9696036,-118.4183846,122460322,,POINT (-118.4183846 33.9696036)
33.9695173,-118.4186583,122460324,,POINT (-118.4186583 33.9695173)
33.9682858,-118.4188408,122460326,,POINT (-118.4188408 33.9682858)
34.1242891,-118.4096059,122472235,,POINT (-118.4096059 34.1242891)
34.1241632,-118.4096626,122472238,,POINT (-118.4096626 34.1241632)
34.1236836,-118.4095135,122472241,,POINT (-118.4095135 34.1236836)
34.1234569,-118.409536,122472242,,POINT (-118.409536 34.1234569)
34.1230662,-118.4096291,122472243,,POINT (-118.4096291 34.1230662)
34.1229058,-118.40968,122472245,,POINT (-118.40968 34.1229058)
33.9719869,-118.4160793,122474466,,POINT (-118.4160793 33.9719869)
33.9727611,-118.4159248,122474470,,POINT (-118.4159248 33.9727611)
33.9729941,-118.4150791,122474473,,POINT (-118.4150791 33.9729941)
34.1974385,-118.5704047,122474953,,POINT (-118.5704047 34.1974385)
34.1948003,-118.5703968,122474954,,POINT (-118.5703968 34.1948003)
34.1947619,-118.5709852,122474961,,POINT (-118.5709852 34.1947619)
34.1824889,-118.5748737,122487742,,POINT (-118.5748737 34.1824889)
33.7710605,-118.266327,122497191,,POINT (-118.266327 33.7710605)
33.7724848,-118.2664416,122497192,,POINT (-118.2664416 33.7724848)
34.0474043,-118.4484981,122500746,,POINT (-118.4484981 34.0474043)
34.0466465,-118.4478454,122500748,,POINT (-118.4478454 34.0466465)
34.0456345,-118.4469737,122500750,,POINT (-118.4469737 34.0456345)
34.1889116,-118.5499532,122538485,,POINT (-118.5499532 34.1889116)
34.1897219,-118.5499709,122538486,,POINT (-118.5499709 34.1897219)
34.1135376,-118.4149946,122544736,,POINT (-118.4149946 34.1135376)
33.7852556,-118.2470502,122551084,,POINT (-118.2470502 33.7852556)
33.7841689,-118.2469646,122551089,,POINT (-118.2469646 33.7841689)
34.0478644,-118.4453146,122551397,,POINT (-118.4453146 34.0478644)
33.785325,-118.2456936,122554289,,POINT (-118.2456936 33.785325)
33.784247,-118.2456018,122554293,,POINT (-118.2456018 33.784247)
33.7870532,-118.2565218,122583966,,POINT (-118.2565218 33.7870532)
34.1786572,-118.5374092,122585454,turning_circle,POINT (-118.5374092 34.1786572)
34.212028,-118.5374337,122585484,,POINT (-118.5374337 34.212028)
34.2071041,-118.5723047,122587097,turning_circle,POINT (-118.5723047 34.2071041)
34.2391322,-118.5317475,122598454,stop,POINT (-118.5317475 34.2391322)
34.2391332,-118.5338201,122598460,stop,POINT (-118.5338201 34.2391332)
34.2389881,-118.5256307,122598551,,POINT (-118.5256307 34.2389881)
33.9492041,-118.273881,122599083,traffic_signals,POINT (-118.273881 33.9492041)
33.9491997,-118.2766272,122599084,,POINT (-118.2766272 33.9491997)
33.9491718,-118.2802323,122599090,,POINT (-118.2802323 33.9491718)
33.9491649,-118.2827096,122599092,traffic_signals,POINT (-118.2827096 33.9491649)
33.9491462,-118.2869487,122599094,traffic_signals,POINT (-118.2869487 33.9491462)
33.9491302,-118.2893314,122599096,,POINT (-118.2893314 33.9491302)
33.9491324,-118.2915909,122599098,traffic_signals,POINT (-118.2915909 33.9491324)
34.2227996,-118.6049103,122599634,,POINT (-118.6049103 34.2227996)
34.173052,-118.5461467,122637258,,POINT (-118.5461467 34.173052)
34.2684949,-118.4178353,122638456,,POINT (-118.4178353 34.2684949)
34.1939504,-118.4181751,122639084,traffic_signals,POINT (-118.4181751 34.1939504)
34.148039,-118.4183749,122639135,,POINT (-118.4183749 34.148039)
34.1476251,-118.4185566,122639205,,POINT (-118.4185566 34.1476251)
34.1756893,-118.540739,122640438,,POINT (-118.540739 34.1756893)
33.7269533,-118.2841231,122644857,,POINT (-118.2841231 33.7269533)
34.1130665,-118.4160344,122645044,,POINT (-118.4160344 34.1130665)
34.1150053,-118.4151952,122645047,,POINT (-118.4151952 34.1150053)
34.1159006,-118.4139047,122645051,,POINT (-118.4139047 34.1159006)
34.126137,-118.4101389,122645084,,POINT (-118.4101389 34.126137)
34.1255112,-118.4085599,122645087,,POINT (-118.4085599 34.1255112)
34.1278809,-118.4086574,122645090,,POINT (-118.4086574 34.1278809)
34.0944439,-118.2487778,122645856,,POINT (-118.2487778 34.0944439)
34.2336491,-118.5500205,122650116,,POINT (-118.5500205 34.2336491)
34.2348807,-118.5499818,122650119,,POINT (-118.5499818 34.2348807)
34.2352547,-118.5500897,122650122,,POINT (-118.5500897 34.2352547)
34.2355006,-118.5500921,122650124,,POINT (-118.5500921 34.2355006)
34.0545627,-118.4635996,122651591,,POINT (-118.4635996 34.0545627)
33.9842674,-118.4663008,122654178,,POINT (-118.4663008 33.9842674)
34.086926,-118.2706486,122657711,,POINT (-118.2706486 34.086926)
34.0302951,-118.2857237,122659207,,POINT (-118.2857237 34.0302951)
34.1301731,-118.2100495,122662720,,POINT (-118.2100495 34.1301731)
34.1296072,-118.20956,122662722,stop,POINT (-118.20956 34.1296072)
34.1274672,-118.2088647,122662725,,POINT (-118.2088647 34.1274672)
34.1272264,-118.2086588,122662728,,POINT (-118.2086588 34.1272264)
34.1270202,-118.2081658,122662730,,POINT (-118.2081658 34.1270202)
34.1267806,-118.2082779,122662735,,POINT (-118.2082779 34.1267806)
34.1264463,-118.2086838,122662742,,POINT (-118.2086838 34.1264463)
34.1262134,-118.2088975,122662744,,POINT (-118.2088975 34.1262134)
34.1255975,-118.2089822,122662749,,POINT (-118.2089822 34.1255975)
34.1246369,-118.2092414,122662752,,POINT (-118.2092414 34.1246369)
33.9658919,-118.4167158,122666485,,POINT (-118.4167158 33.9658919)
34.1256381,-118.2116591,122669091,,POINT (-118.2116591 34.1256381)
34.180307,-118.6130489,122679343,,POINT (-118.6130489 34.180307)
34.2427392,-118.5275041,122684436,stop,POINT (-118.5275041 34.2427392)
34.2427612,-118.5317462,122684438,stop,POINT (-118.5317462 34.2427612)
34.2427665,-118.5338599,122684440,,POINT (-118.5338599 34.2427665)
33.9840479,-118.466129,122691699,,POINT (-118.466129 33.9840479)
33.9838471,-118.4659614,122691712,,POINT (-118.4659614 33.9838471)
34.048379,-118.4500663,122701186,traffic_signals,POINT (-118.4500663 34.048379)
34.1485526,-118.4372595,122714597,,POINT (-118.4372595 34.1485526)
34.0274206,-118.2850757,122719255,,POINT (-118.2850757 34.0274206)
33.9492425,-118.2673336,122719561,,POINT (-118.2673336 33.9492425)
34.2485913,-118.5233444,122720280,,POINT (-118.5233444 34.2485913)
34.0755274,-118.4535166,122725345,,POINT (-118.4535166 34.0755274)
34.0718332,-118.4525739,122725347,,POINT (-118.4525739 34.0718332)
34.0712907,-118.4520235,122725351,,POINT (-118.4520235 34.0712907)
34.071191,-118.4518301,122725354,,POINT (-118.4518301 34.071191)
34.0710971,-118.4514803,122725358,,POINT (-118.4514803 34.0710971)
34.0710908,-118.4511517,122725361,,POINT (-118.4511517 34.0710908)
34.0712259,-118.4495513,122725367,,POINT (-118.4495513 34.0712259)
34.0732091,-118.4491277,122725376,stop,POINT (-118.4491277 34.0732091)
34.0754292,-118.450708,122725379,,POINT (-118.450708 34.0754292)
34.0757862,-118.4516832,122725385,,POINT (-118.4516832 34.0757862)
34.075798,-118.4518914,122725387,,POINT (-118.4518914 34.075798)
34.075764,-118.4530655,122725389,,POINT (-118.4530655 34.075764)
34.0756769,-118.4533374,122725390,,POINT (-118.4533374 34.0756769)
34.2133416,-118.455303,122727866,,POINT (-118.455303 34.2133416)
34.0196151,-118.2882232,122728399,,POINT (-118.2882232 34.0196151)
34.0203897,-118.2877404,122728406,stop,POINT (-118.2877404 34.0203897)
34.1722,-118.3593877,122732329,,POINT (-118.3593877 34.1722)
34.2798554,-118.5123935,122733009,,POINT (-118.5123935 34.2798554)
34.2006496,-118.4247183,122733312,,POINT (-118.4247183 34.2006496)
33.7288405,-118.281125,122742410,,POINT (-118.281125 33.7288405)
34.2355078,-118.5273604,122746877,traffic_signals,POINT (-118.5273604 34.2355078)
34.2355107,-118.5317272,122746879,traffic_signals,POINT (-118.5317272 34.2355107)
34.0696007,-118.4389503,122762231,traffic_signals,POINT (-118.4389503 34.0696007)
34.1844387,-118.5809891,122763593,,POINT (-118.5809891 34.1844387)
33.9848721,-118.4668339,122769635,,POINT (-118.4668339 33.9848721)
33.9799943,-118.319692,122770914,,POINT (-118.319692 33.9799943)
34.0675992,-118.4608496,122773663,,POINT (-118.4608496 34.0675992)
33.7293546,-118.2798296,122773867,,POINT (-118.2798296 33.7293546)
33.982462,-118.3196085,122783817,,POINT (-118.3196085 33.982462)
33.9781997,-118.3196991,122783819,,POINT (-118.3196991 33.9781997)
33.9763797,-118.3197265,122783821,,POINT (-118.3197265 33.9763797)
33.9745745,-118.3197029,122783824,,POINT (-118.3197029 33.9745745)
34.1808507,-118.6109688,122788731,,POINT (-118.6109688 34.1808507)
34.1818998,-118.6132815,122789285,,POINT (-118.6132815 34.1818998)
33.7825837,-118.2684006,122792159,,POINT (-118.2684006 33.7825837)
33.7823672,-118.2725033,122792169,,POINT (-118.2725033 33.7823672)
34.185279,-118.5787584,122793696,,POINT (-118.5787584 34.185279)
34.1448132,-118.3384465,122803424,,POINT (-118.3384465 34.1448132)
34.1446317,-118.338422,122803426,,POINT (-118.338422 34.1446317)
34.1429567,-118.3396619,122803428,,POINT (-118.3396619 34.1429567)
34.142154,-118.3391413,122803431,,POINT (-118.3391413 34.142154)
34.142033,-118.3390175,122803433,,POINT (-118.3390175 34.142033)
34.1419849,-118.3389942,122803435,,POINT (-118.3389942 34.1419849)
34.1416218,-118.3389671,122803437,,POINT (-118.3389671 34.1416218)
34.1414358,-118.3387892,122803439,,POINT (-118.3387892 34.1414358)
34.1411235,-118.3391827,122803452,,POINT (-118.3391827 34.1411235)
34.1411144,-118.3392919,122803463,,POINT (-118.3392919 34.1411144)
34.1247845,-118.2097823,122810302,,POINT (-118.2097823 34.1247845)
33.968724,-118.4155715,122812548,,POINT (-118.4155715 33.968724)
33.9687348,-118.4154569,122812550,,POINT (-118.4154569 33.9687348)
33.9705738,-118.4152838,122812554,,POINT (-118.4152838 33.9705738)
33.9712516,-118.4152872,122812556,stop,POINT (-118.4152872 33.9712516)
33.9713026,-118.4178671,122812561,,POINT (-118.4178671 33.9713026)
34.1774813,-118.537428,122815693,,POINT (-118.537428 34.1774813)
33.9851172,-118.4670593,122821834,,POINT (-118.4670593 33.9851172)
34.1844374,-118.587549,122823034,,POINT (-118.587549 34.1844374)
34.1845521,-118.588094,122823037,,POINT (-118.588094 34.1845521)
34.1847559,-118.588665,122823041,traffic_signals,POINT (-118.588665 34.1847559)
34.1492961,-118.4221006,122831635,,POINT (-118.4221006 34.1492961)
34.1819505,-118.610982,122844343,,POINT (-118.610982 34.1819505)
34.1824048,-118.6107508,122844352,,POINT (-118.6107508 34.1824048)
34.0211477,-118.2847555,122844995,,POINT (-118.2847555 34.0211477)
34.1483708,-118.436135,122850837,,POINT (-118.436135 34.1483708)
33.9492169,-118.2716974,122851086,,POINT (-118.2716974 33.9492169)
33.9492296,-118.2695248,122851088,traffic_signals,POINT (-118.2695248 33.9492296)
33.9492419,-118.2651494,122851090,traffic_signals,POINT (-118.2651494 33.9492419)
33.9492556,-118.2629765,122851092,,POINT (-118.2629765 33.9492556)
33.9492807,-118.2608066,122851093,,POINT (-118.2608066 33.9492807)
33.9492807,-118.2586306,122851096,,POINT (-118.2586306 33.9492807)
33.9492842,-118.256462,122851098,,POINT (-118.256462 33.9492842)
34.148176,-118.4350171,122852521,,POINT (-118.4350171 34.148176)
34.1490037,-118.4411431,122852532,,POINT (-118.4411431 34.1490037)
34.1542885,-118.4721175,122852562,,POINT (-118.4721175 34.1542885)
34.1725126,-118.5474665,122852683,,POINT (-118.5474665 34.1725126)
34.0441986,-118.4347389,122853235,stop,POINT (-118.4347389 34.0441986)
33.9830158,-118.4652241,122856329,,POINT (-118.4652241 33.9830158)
34.0894633,-118.2690344,122857842,,POINT (-118.2690344 34.0894633)
34.1813414,-118.6132437,122869223,,POINT (-118.6132437 34.1813414)
34.1296222,-118.4048875,122874280,,POINT (-118.4048875 34.1296222)
34.1259843,-118.4778888,122882924,,POINT (-118.4778888 34.1259843)
34.1260396,-118.4781415,122882926,,POINT (-118.4781415 34.1260396)
34.126083,-118.4782715,122882928,,POINT (-118.4782715 34.126083)
34.1261953,-118.4785333,122882930,,POINT (-118.4785333 34.1261953)
34.1263365,-118.4787883,122882931,,POINT (-118.4787883 34.1263365)
34.1264869,-118.4789868,122882932,,POINT (-118.4789868 34.1264869)
34.1266858,-118.479226,122882934,,POINT (-118.479226 34.1266858)
34.1270211,-118.4794183,122882935,,POINT (-118.4794183 34.1270211)
33.9857811,-118.4676182,122895540,stop,POINT (-118.4676182 33.9857811)
33.9846759,-118.4666806,122895547,,POINT (-118.4666806 33.9846759)
33.9844746,-118.4665001,122895551,,POINT (-118.4665001 33.9844746)
33.9836391,-118.4657759,122895555,,POINT (-118.4657759 33.9836391)
33.9834299,-118.4655892,122895558,,POINT (-118.4655892 33.9834299)
33.9832275,-118.4654102,122895561,,POINT (-118.4654102 33.9832275)
34.2499852,-118.5989997,122897246,traffic_signals,POINT (-118.5989997 34.2499852)
34.2502647,-118.5989885,122897247,,POINT (-118.5989885 34.2502647)
34.2532372,-118.5988934,122897249,,POINT (-118.5988934 34.2532372)
34.2555441,-118.598847,122897252,,POINT (-118.598847 34.2555441)
34.2558633,-118.5987612,122897254,,POINT (-118.5987612 34.2558633)
34.2563441,-118.5987177,122897257,,POINT (-118.5987177 34.2563441)
34.2572476,-118.5987414,122897260,,POINT (-118.5987414 34.2572476)
34.2448363,-118.5950212,122897947,,POINT (-118.5950212 34.2448363)
34.1811359,-118.6110192,122898503,,POINT (-118.6110192 34.1811359)
34.0753727,-118.4423876,122900884,,POINT (-118.4423876 34.0753727)
34.269952,-118.5903902,122902255,,POINT (-118.5903902 34.269952)
34.269807,-118.5904081,122902257,,POINT (-118.5904081 34.269807)
34.2695743,-118.590573,122902260,,POINT (-118.590573 34.2695743)
34.26921,-118.5907537,122902263,,POINT (-118.5907537 34.26921)
34.1700044,-118.3593842,122902800,,POINT (-118.3593842 34.1700044)
34.1489042,-118.4225219,122910646,,POINT (-118.4225219 34.1489042)
