y,x,osmid,highway,geometry
55.6558588,12.5121679,576713,traffic_signals,POINT (12.5121679 55.6558588)
55.6704769,12.5575675,697537,traffic_signals,POINT (12.5575675 55.6704769)
55.6805493,12.5870075,697822,traffic_signals,POINT (12.5870075 55.6805493)
55.6876112,12.5928421,698029,traffic_signals,POINT (12.5928421 55.6876112)
55.6549506,12.5942101,698683,traffic_signals,POINT (12.5942101 55.6549506)
55.682674,12.580712,706815,traffic_signals,POINT (12.580712 55.682674)
55.6860663,12.5836301,6503260,traffic_signals,POINT (12.5836301 55.6860663)
55.6772756,12.5844851,6503284,traffic_signals,POINT (12.5844851 55.6772756)
55.6757127,12.5631953,7224402,traffic_signals,POINT (12.5631953 55.6757127)
55.7079673,12.5773192,7712481,,POINT (12.5773192 55.7079673)
55.7079642,12.5786143,7712484,,POINT (12.5786143 55.7079642)
55.6672883,12.5788078,7726662,,POINT (12.5788078 55.6672883)
55.6753672,12.5619623,7726672,traffic_signals,POINT (12.5619623 55.6753672)
55.7010855,12.5396234,8078531,traffic_signals,POINT (12.5396234 55.7010855)
55.6789296,12.5928949,8115534,,POINT (12.5928949 55.6789296)
55.7079637,12.5857257,17343195,traffic_signals,POINT (12.5857257 55.7079637)
55.6890903,12.5574911,20925445,traffic_signals,POINT (12.5574911 55.6890903)
55.6997524,12.564604,20930134,,POINT (12.564604 55.6997524)
55.7024741,12.5633542,21556600,,POINT (12.5633542 55.7024741)
55.7047823,12.5659601,24609833,traffic_signals,POINT (12.5659601 55.7047823)
55.6988469,12.5660739,24670659,,POINT (12.5660739 55.6988469)
55.6814418,12.58529,268690821,traffic_signals,POINT (12.58529 55.6814418)
55.6808658,12.5873438,268690828,traffic_signals,POINT (12.5873438 55.6808658)
55.7079669,12.5774784,296206896,,POINT (12.5774784 55.7079669)
55.6913183,12.572491,298497229,,POINT (12.572491 55.6913183)
55.6820431,12.5809251,300094233,,POINT (12.5809251 55.6820431)
55.6543333,12.5160828,411612576,,POINT (12.5160828 55.6543333)
55.6606438,12.5549043,1052367665,,POINT (12.5549043 55.6606438)
55.6721452,12.5671759,1181499809,,POINT (12.5671759 55.6721452)
55.6730548,12.566294,1181499859,,POINT (12.566294 55.6730548)
55.6742128,12.5881099,1236989662,,POINT (12.5881099 55.6742128)
55.7000418,12.5385721,1477320632,,POINT (12.5385721 55.7000418)
55.6997125,12.5382583,1552939204,traffic_signals,POINT (12.5382583 55.6997125)
55.6763109,12.5693469,1574166954,,POINT (12.5693469 55.6763109)
55.6668682,12.5799957,1598991179,,POINT (12.5799957 55.6668682)
55.6877383,12.5939691,1702640265,,POINT (12.5939691 55.6877383)
55.6977355,12.5678696,2255813399,,POINT (12.5678696 55.6977355)
55.7055485,12.5645233,2327477960,,POINT (12.5645233 55.7055485)
55.6950098,12.5777172,2522851854,,POINT (12.5777172 55.6950098)
55.6616318,12.5568836,3626959237,,POINT (12.5568836 55.6616318)
55.7056117,12.5638624,3629166665,,POINT (12.5638624 55.7056117)
55.681231,12.5605686,3676767770,,POINT (12.5605686 55.681231)
55.679,12.5928556,4288438529,,POINT (12.5928556 55.679)
55.6906615,12.5602542,4555480821,,POINT (12.5602542 55.6906615)
55.6723299,12.5556402,4876445689,traffic_signals,POINT (12.5556402 55.6723299)
55.6817617,12.5610711,5490694557,,POINT (12.5610711 55.6817617)
55.6723417,12.5670563,6359420314,,POINT (12.5670563 55.6723417)
55.6772757,12.5801493,6943466010,,POINT (12.5801493 55.6772757)
55.699784,12.5382813,7424040147,,POINT (12.5382813 55.699784)
55.6759317,12.5701125,7726386207,,POINT (12.5701125 55.6759317)
55.6739848,12.5629057,118725,,POINT (12.5629057 55.6739848)
55.6614344,12.5577177,118751,traffic_signals,POINT (12.5577177 55.6614344)
55.6540026,12.5422312,118763,traffic_signals,POINT (12.5422312 55.6540026)
55.6539458,12.5423887,118764,traffic_signals,POINT (12.5423887 55.6539458)
55.6512826,12.539914,118779,traffic_signals,POINT (12.539914 55.6512826)
55.6509981,12.5399027,118780,traffic_signals,POINT (12.5399027 55.6509981)
55.6460132,12.5424854,118781,traffic_signals,POINT (12.5424854 55.6460132)
55.6460772,12.5427315,118787,traffic_signals,POINT (12.5427315 55.6460772)
55.6436206,12.5453691,118792,traffic_signals,POINT (12.5453691 55.6436206)
55.6437122,12.5455234,118806,traffic_signals,POINT (12.5455234 55.6437122)
55.6396224,12.5832697,118866,,POINT (12.5832697 55.6396224)
55.6347648,12.5813305,118868,traffic_signals,POINT (12.5813305 55.6347648)
55.6310571,12.5798675,118869,traffic_signals,POINT (12.5798675 55.6310571)
55.6211118,12.5758979,118872,,POINT (12.5758979 55.6211118)
55.7216643,12.5773485,125427,traffic_signals,POINT (12.5773485 55.7216643)
55.719964,12.5426878,125437,traffic_signals,POINT (12.5426878 55.719964)
55.7133872,12.5351605,125442,,POINT (12.5351605 55.7133872)
55.7119129,12.5320924,125444,traffic_signals,POINT (12.5320924 55.7119129)
55.6939581,12.494409,125457,traffic_signals,POINT (12.494409 55.6939581)
55.6850602,12.5518117,375471,traffic_signals,POINT (12.5518117 55.6850602)
55.6853401,12.5472859,375473,traffic_signals,POINT (12.5472859 55.6853401)
55.6604027,12.5158158,576722,,POINT (12.5158158 55.6604027)
55.6643803,12.5161823,576726,traffic_signals,POINT (12.5161823 55.6643803)
55.6793572,12.5213657,576734,traffic_signals,POINT (12.5213657 55.6793572)
55.6806965,12.5220056,576735,traffic_signals,POINT (12.5220056 55.6806965)
55.6821453,12.5230054,576736,traffic_signals,POINT (12.5230054 55.6821453)
55.6818381,12.5109068,576751,traffic_signals,POINT (12.5109068 55.6818381)
55.6788062,12.5087987,576752,traffic_signals,POINT (12.5087987 55.6788062)
55.6527839,12.4884223,576911,,POINT (12.4884223 55.6527839)
55.6770795,12.4869402,654737,,POINT (12.4869402 55.6770795)
55.6778439,12.4855549,654738,,POINT (12.4855549 55.6778439)
55.6826838,12.4839018,654739,traffic_signals,POINT (12.4839018 55.6826838)
55.6725109,12.4886625,662902,traffic_signals,POINT (12.4886625 55.6725109)
55.6723676,12.495411,662904,traffic_signals,POINT (12.495411 55.6723676)
55.6878089,12.4898487,662908,traffic_signals,POINT (12.4898487 55.6878089)
55.6838634,12.4935894,662914,traffic_signals,POINT (12.4935894 55.6838634)
55.6776986,12.4899377,662931,,POINT (12.4899377 55.6776986)
55.7039042,12.5494528,687876,,POINT (12.5494528 55.7039042)
55.7078207,12.5564678,687878,traffic_signals,POINT (12.5564678 55.7078207)
55.6264213,12.5746409,697520,traffic_signals,POINT (12.5746409 55.6264213)
55.6357617,12.5739631,697525,,POINT (12.5739631 55.6357617)
55.6313783,12.5779587,697528,,POINT (12.5779587 55.6313783)
55.6724284,12.5635838,697538,,POINT (12.5635838 55.6724284)
55.6736517,12.5722541,697547,traffic_signals,POINT (12.5722541 55.6736517)
55.6824813,12.5708401,697775,traffic_signals,POINT (12.5708401 55.6824813)
55.6767038,12.5684677,697791,,POINT (12.5684677 55.6767038)
55.6744278,12.5730421,697797,traffic_signals,POINT (12.5730421 55.6744278)
55.6765571,12.5823665,697811,crossing,POINT (12.5823665 55.6765571)
55.6866372,12.5767563,698019,,POINT (12.5767563 55.6866372)
55.6685247,12.5823799,698646,traffic_signals,POINT (12.5823799 55.6685247)
