y,x,osmid,highway,ref,geometry
42.3508433,-71.0894781,61340777,,,POINT (-71.08947809999999 42.3508433)
42.3510563,-71.0649238,61340937,traffic_signals,,POINT (-71.0649238 42.3510563)
42.3488573,-71.0906276,61349182,,,POINT (-71.0906276 42.3488573)
42.3497098,-71.0889091,61352744,,,POINT (-71.0889091 42.3497098)
42.3504514,-71.0892724,61364897,,,POINT (-71.0892724 42.3504514)
42.354348,-71.061732,61468989,,,POINT (-71.06173200000001 42.354348)
42.3514033,-71.0897609,1038844829,,,POINT (-71.0897609 42.3514033)
42.347299,-71.0877461,1818197688,,,POINT (-71.0877461 42.347299)
42.3510261,-71.066426,2501119764,,,POINT (-71.06642600000001 42.3510261)
42.3510118,-71.0629599,6160016529,,,POINT (-71.0629599 42.3510118)
42.3639658,-71.1205487,7087115542,,,POINT (-71.1205487 42.3639658)
42.3509059,-71.089512,7640821569,,,POINT (-71.089512 42.3509059)
42.3507698,-71.100273,61340762,,,POINT (-71.100273 42.3507698)
42.3138148,-71.1211784,61340874,,,POINT (-71.12117840000001 42.3138148)
42.3495769,-71.0860519,61342331,,,POINT (-71.0860519 42.3495769)
42.3499194,-71.0862186,61342409,,,POINT (-71.0862186 42.3499194)
42.3387065,-71.0978365,61343548,crossing,,POINT (-71.0978365 42.3387065)
42.3393189,-71.083315,61344397,,,POINT (-71.083315 42.3393189)
42.3364255,-71.0877109,61344902,traffic_signals,,POINT (-71.0877109 42.3364255)
42.3505525,-71.0509637,61349979,,,POINT (-71.0509637 42.3505525)
42.3432182,-71.0930231,61517884,,,POINT (-71.0930231 42.3432182)
42.367393,-71.0696379,61590899,,,POINT (-71.0696379 42.367393)
42.330715,-71.113425,64057693,,,POINT (-71.11342500000001 42.330715)
42.313853,-71.12097,64060344,,,POINT (-71.12097 42.313853)
42.326222,-71.1159948,64060658,,,POINT (-71.1159948 42.326222)
42.3611601,-71.0728987,64063937,,,POINT (-71.0728987 42.3611601)
42.355274,-71.0774577,64064005,,,POINT (-71.0774577 42.355274)
42.3561801,-71.0740201,64065131,,,POINT (-71.0740201 42.3561801)
42.3557519,-71.0729081,64065172,,,POINT (-71.07290810000001 42.3557519)
42.3403166,-71.0999485,64066371,,,POINT (-71.0999485 42.3403166)
42.338884,-71.0977561,64066398,,,POINT (-71.0977561 42.338884)
42.3451012,-71.0910755,64066461,,,POINT (-71.0910755 42.3451012)
42.3463917,-71.0915831,64066465,,,POINT (-71.09158309999999 42.3463917)
42.3663537,-71.0687939,64384027,crossing,,POINT (-71.0687939 42.3663537)
42.3532877,-71.0846604,321504781,,,POINT (-71.0846604 42.3532877)
42.3541352,-71.0810507,321505283,,,POINT (-71.08105070000001 42.3541352)
42.3527742,-71.0867056,321505299,,,POINT (-71.0867056 42.3527742)
