placeid;nominatimstring;countryid;name
santiago;Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile;chl;Santiago Centro
bath;bath;gbr;Bath
delft;delft;nld;Delft
lyon;lyon;fra;Lyon
manhattan;manhattan;usa;Manhattan
telaviv;tel aviv;isr;Tel Aviv
bern;bern;che;Bern
kathmandu;kathmandu;npl;Kathmandu
rabat;rabat;mar;Rabat
malmo;malmo;swe;Malmo
luanda;luanda;ago;Luanda
turin;turin;ita;Turin
copenhagen;;dnk;Copenhagen
zurich;zurich;che;Zurich
buenosaires;buenos aires;arg;Buenos Aires
marrakesh;marrakesh;mar;Marrakesh
sanfrancisco;san francisco;usa;San Francisco
tashkent;tashkent;uzb;Tashkent
bradford;bradford;gbr;Bradford
boston;Boston;usa;Boston
shahalam;shah alam;mys;Shah Alam
glasgow;glasgow city;gbr;Glasgow
mumbai;mumbai;ind;Mumbai
milan;milan;ita;Milan
montreal;montreal (06);can;Montreal
paris;Paris, France;fra;Paris
barcelona;Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain;esp;Barcelona
detroit;detroit;usa;Detroit
sheffield;sheffield;gbr;Sheffield
stuttgart;stuttgart;deu;Stuttgart
philadelphia;philadelphia;usa;Philadelphia
amsterdam;amsterdam;nld;Amsterdam
ulaanbaatar;ulaanbaatar;mng;Ulan Baatar
birmingham;birmingham;gbr;Birmingham
oslo;oslo;nor;Oslo
leeds;leeds;gbr;Leeds
edinburgh;city of edinburgh;gbr;Edinburgh
chicago;chicago;usa;Chicago
hongkong;Hong Kong Special Administrative Region;hkg;Hong Kong
budapest;Budapest, Hungary;hun;Budapest
cologne;cologne;ger;Cologne
singapore;singapore;sgp;Singapore
vienna;vienna, austria;aut;Vienna
warsaw;warsaw;pol;Warsaw
moscow;moscow;rus;Moscow
toronto;toronto;can;Toronto
munich;munich;ger;Munich
bogota;bogota, colombia;col;Bogota
helsinki;helsinki;fin;Helsinki
rome;Rome, Roma Capitale, Italy;ita;Rome
phoenix;phoenix;usa;Phoenix
hamburg;hamburg;ger;Hamburg
houston;houston;usa;Houston
berlin;Berlin, Germany;deu;Berlin
losangeles;los angeles;usa;Los Angeles
mexico;mexico city;mex;Mexico City
karachi;karachi;pak;Karachi
manchestergreater;greater manchester;gbr;Greater Manchester
jakarta;jakarta;idn;Jakarta
saopaulo;sao paolo;bra;Sao Paolo
tokyo;tokyo;jpn;Tokyo
london;greater london;gbr;London
