y,x,osmid,highway,ref,geometry
41.8833382,12.4764057,247287658,,,POINT (12.4764057 41.8833382)
41.8863447,12.4797551,247287661,,,POINT (12.4797551 41.8863447)
41.8766453,12.5260149,301673748,,,POINT (12.5260149 41.8766453)
41.8755201,12.5275969,301674275,traffic_signals,,POINT (12.5275969 41.8755201)
41.875243,12.5280084,301674916,,,POINT (12.5280084 41.875243)
41.8743928,12.5292469,301675840,,,POINT (12.5292469 41.8743928)
41.874178,12.5295714,301680969,crossing,,POINT (12.5295714 41.874178)
41.87484,12.5285856,302177698,,,POINT (12.5285856 41.87484)
41.8754069,12.5277617,302177708,,,POINT (12.5277617 41.8754069)
41.8877526,12.4803713,667984647,traffic_signals,,POINT (12.4803713 41.8877526)
41.875826,12.5271591,801182863,,,POINT (12.5271591 41.875826)
41.8762364,12.5265716,1275173924,,,POINT (12.5265716 41.8762364)
41.8783929,12.4684946,251888369,,,POINT (12.4684946 41.8783929)
41.8673351,12.4844086,130216139,,,POINT (12.4844086 41.8673351)
41.8671411,12.4844107,130217140,,,POINT (12.4844107 41.8671411)
41.8817653,12.4993958,246259984,crossing,,POINT (12.4993958 41.8817653)
41.8800584,12.4962804,246633881,,,POINT (12.4962804 41.8800584)
41.8829716,12.4757364,251885756,,,POINT (12.4757364 41.8829716)
41.8728744,12.49688,254306971,crossing,,POINT (12.49688 41.8728744)
41.8711107,12.4967114,254321099,crossing,,POINT (12.4967114 41.8711107)
41.7221427,12.2961634,255019799,traffic_signals,,POINT (12.2961634 41.7221427)
41.8759005,12.4964138,255024122,,,POINT (12.4964138 41.8759005)
41.8731688,12.4969039,255330452,,,POINT (12.4969039 41.8731688)
41.8714211,12.4967314,255330890,crossing,,POINT (12.4967314 41.8714211)
41.8589093,12.4962198,255333227,,,POINT (12.4962198 41.8589093)
41.8546372,12.4905073,255333392,,,POINT (12.4905073 41.8546372)
41.8587099,12.4960174,255333456,,,POINT (12.4960174 41.8587099)
41.8716985,12.4715373,257668875,,,POINT (12.4715373 41.8716985)
41.8611838,12.4703619,257668929,,,POINT (12.4703619 41.8611838)
41.9294943,12.4720273,259642361,crossing,,POINT (12.4720273 41.9294943)
41.9301892,12.4692861,259642660,crossing,,POINT (12.4692861 41.9301892)
41.9297431,12.473684,259642711,crossing,,POINT (12.473684 41.9297431)
41.8472316,12.4811609,259661290,crossing,,POINT (12.4811609 41.8472316)
41.8498571,12.4847555,259661303,crossing,,POINT (12.4847555 41.8498571)
41.8457939,12.4856506,259661606,crossing,,POINT (12.4856506 41.8457939)
41.8575154,12.3976116,260349312,,,POINT (12.3976116 41.8575154)
41.8590221,12.4017945,260349554,,,POINT (12.4017945 41.8590221)
41.9145193,12.5779402,260974699,,,POINT (12.5779402 41.9145193)
41.9150801,12.5720416,260974711,,,POINT (12.5720416 41.9150801)
41.8677626,12.4795508,261011874,,,POINT (12.4795508 41.8677626)
