y,x,osmid,highway,geometry
32.0568595,34.7780577,1571763960,,POINT (34.7780577 32.0568595)
32.0544566,34.7775038,1571764066,,POINT (34.7775038 32.0544566)
32.0916012,34.7828736,35288618,traffic_signals,POINT (34.7828736 32.0916012)
32.0927712,34.7733032,290612973,traffic_signals,POINT (34.7733032 32.0927712)
32.0916781,34.7828891,331214993,,POINT (34.7828891 32.0916781)
32.0980593,34.7931963,340378133,,POINT (34.7931963 32.0980593)
32.0984969,34.7831602,340382284,,POINT (34.7831602 32.0984969)
32.0968779,34.7842097,340382391,,POINT (34.7842097 32.0968779)
32.0995147,34.7930714,340382462,,POINT (34.7930714 32.0995147)
32.0916745,34.7830373,354567804,traffic_signals,POINT (34.7830373 32.0916745)
32.0983739,34.7837815,358520930,,POINT (34.7837815 32.0983739)
32.0999767,34.806593,358522451,,POINT (34.806593 32.0999767)
32.100519,34.807501,358522456,,POINT (34.807501 32.100519)
32.100568,34.808207,358522458,,POINT (34.808207 32.100568)
32.101607,34.8138782,358523656,,POINT (34.8138782 32.101607)
32.1060824,34.8253942,358530811,,POINT (34.8253942 32.1060824)
32.096929,34.809128,358530890,,POINT (34.809128 32.096929)
32.0998441,34.8090095,358530895,,POINT (34.8090095 32.0998441)
32.106638,34.8252765,392067318,,POINT (34.8252765 32.106638)
32.1009524,34.807545,412816904,,POINT (34.807545 32.1009524)
32.1002348,34.8089036,412816936,,POINT (34.8089036 32.1002348)
32.102452,34.808235,412817027,,POINT (34.808235 32.102452)
32.102921,34.8071194,412817028,,POINT (34.8071194 32.102921)
32.1011576,34.8086072,412844767,,POINT (34.8086072 32.1011576)
32.1227565,34.8246126,417774500,,POINT (34.8246126 32.1227565)
32.0855318,34.770095,454131362,,POINT (34.770095 32.0855318)
32.0990404,34.809221,535954836,,POINT (34.809221 32.0990404)
32.1021916,34.8083141,639608142,,POINT (34.8083141 32.1021916)
32.1011052,34.8084891,766753656,,POINT (34.8084891 32.1011052)
32.100861,34.8128684,989012075,,POINT (34.8128684 32.100861)
32.1220588,34.8250859,1123297092,,POINT (34.8250859 32.1220588)
32.1227828,34.8243962,1123297112,,POINT (34.8243962 32.1227828)
32.1065812,34.8252863,1129148200,,POINT (34.8252863 32.1065812)
32.0965606,34.7797193,1140340987,,POINT (34.7797193 32.0965606)
32.0983336,34.7948148,1140752838,,POINT (34.7948148 32.0983336)
32.1224435,34.7946753,1143505242,,POINT (34.7946753 32.1224435)
32.1194243,34.8251624,1168434901,,POINT (34.8251624 32.1194243)
32.1221217,34.8247489,1168434910,,POINT (34.8247489 32.1221217)
32.1205371,34.8251031,1168434956,,POINT (34.8251031 32.1205371)
32.1208822,34.8250703,1168435070,,POINT (34.8250703 32.1208822)
32.120163,34.8254179,1168996552,,POINT (34.8254179 32.120163)
32.1216887,34.8251681,1168996574,,POINT (34.8251681 32.1216887)
32.1189284,34.8255331,1187231323,,POINT (34.8255331 32.1189284)
32.0971085,34.7882304,1207717557,,POINT (34.7882304 32.0971085)
32.0971216,34.788313,1207717610,,POINT (34.788313 32.0971216)
32.0926525,34.7733634,1224771130,,POINT (34.7733634 32.0926525)
32.1017995,34.7815736,1734055659,,POINT (34.7815736 32.1017995)
32.1021921,34.8083162,1836429116,,POINT (34.8083162 32.1021921)
32.1002553,34.8088602,1836429120,,POINT (34.8088602 32.1002553)
32.1115424,34.8256221,1849577719,,POINT (34.8256221 32.1115424)
32.1111156,34.8257715,1849577721,,POINT (34.8257715 32.1111156)
32.1135843,34.8254997,1849577722,,POINT (34.8254997 32.1135843)
32.1106074,34.8260058,1849577729,,POINT (34.8260058 32.1106074)
32.1120584,34.8254802,1849577740,,POINT (34.8254802 32.1120584)
32.1099379,34.8263592,1849577743,,POINT (34.8263592 32.1099379)
32.091684,34.7828359,2072034655,,POINT (34.7828359 32.091684)
32.0927269,34.7733979,2374499616,,POINT (34.7733979 32.0927269)
32.082628,34.7779402,2692265005,,POINT (34.7779402 32.082628)
32.0802113,34.7814266,2701012461,,POINT (34.7814266 32.0802113)
32.1095923,34.8262314,4067820155,,POINT (34.8262314 32.1095923)
32.0796696,34.7886757,4415218501,,POINT (34.7886757 32.0796696)
32.0984634,34.783243,4755318730,,POINT (34.783243 32.0984634)
32.1193857,34.8255037,4852132553,,POINT (34.8255037 32.1193857)
32.1204853,34.8253823,4852132554,,POINT (34.8253823 32.1204853)
32.0996393,34.793214,5081770929,,POINT (34.793214 32.0996393)
32.0975622,34.7777497,6490520358,,POINT (34.7777497 32.0975622)
32.0998924,34.7944093,6491109231,,POINT (34.7944093 32.0998924)
32.1091026,34.8361837,7062975044,,POINT (34.8361837 32.1091026)
32.0838218,34.7853194,282407636,,POINT (34.7853194 32.0838218)
32.0815592,34.7820308,285954389,,POINT (34.7820308 32.0815592)
32.1182555,34.8015515,289087257,traffic_signals,POINT (34.8015515 32.1182555)
32.0647019,34.7967056,312826980,,POINT (34.7967056 32.0647019)
32.0719612,34.7793068,332207109,,POINT (34.7793068 32.0719612)
32.118962,34.8068798,335851699,,POINT (34.8068798 32.118962)
32.0827657,34.7948716,340186063,traffic_signals,POINT (34.7948716 32.0827657)
32.0992105,34.7772502,340381081,,POINT (34.7772502 32.0992105)
32.0988644,34.8012674,342316230,,POINT (34.8012674 32.0988644)
32.0908514,34.786583,342380436,traffic_signals,POINT (34.786583 32.0908514)
32.0909662,34.7871304,343611511,traffic_signals,POINT (34.7871304 32.0909662)
32.0909748,34.7865815,343611512,traffic_signals,POINT (34.7865815 32.0909748)
32.0909361,34.7837057,343611514,,POINT (34.7837057 32.0909361)
32.0869443,34.7891065,352936770,,POINT (34.7891065 32.0869443)
32.0977133,34.7831375,354033541,,POINT (34.7831375 32.0977133)
32.1229913,34.7942047,361093946,,POINT (34.7942047 32.1229913)
32.057942,34.7640244,365767997,traffic_signals,POINT (34.7640244 32.057942)
32.1266931,34.8293464,410210092,,POINT (34.8293464 32.1266931)
32.0857854,34.7947018,412272507,,POINT (34.7947018 32.0857854)
32.1216942,34.8013594,415451327,,POINT (34.8013594 32.1216942)
32.0910848,34.7904976,444739983,traffic_signals,POINT (34.7904976 32.0910848)
32.0909936,34.7905059,444739986,traffic_signals,POINT (34.7905059 32.0909936)
32.1242237,34.8047808,521584038,,POINT (34.8047808 32.1242237)
